no,filename,title,category,grade
C-005,C-005_shopping_mall.jpg,ショッピングモール,situation,共通
C-006,C-006_train_station.jpg,電車の駅,situation,共通
C-007,C-007_bookstore.jpg,書店での一コマ,situation,共通
C-008,C-008_city_park.jpg,街の公園,situation,共通
C-009,C-009_gym_workout.jpg,ジムでの運動,situation,共通
C-010,C-010_beach_day.jpg,ビーチの一日,situation,共通
C-011,C-011_library_study.jpg,図書館で勉強,situation,共通
C-012,C-012_museum_visit.jpg,美術館訪問,situation,共通
C-013,C-013_cinema.jpg,映画の夜,situation,共通
C-014,C-014_supermarket.jpg,スーパーマーケット,situation,共通
C-015,C-015_pharmacy.jpg,薬局,situation,共通
C-016,C-016_post_office.jpg,郵便局,situation,共通
C-017,C-017_taxi_ride.jpg,タクシーに乗る,situation,共通
C-018,C-018_bus_stop.jpg,バス停,situation,共通
C-019,C-019_subway_map.jpg,地下鉄の路線図,situation,共通
C-020,C-020_pet_shop.jpg,ペットショップ,situation,共通
C-021,C-021_bakery.jpg,パン屋の朝,situation,共通
C-022,C-022_flower_shop.jpg,花屋,situation,共通
C-023,C-023_hair_salon.jpg,美容院,situation,共通
C-024,C-024_bank_visit.jpg,銀行で手続き,situation,共通
C-025,C-025_convenience_store.jpg,コンビニ,situation,共通
C-026,C-026_food_truck.jpg,フードトラック,situation,共通
C-027,C-027_farmers_market.jpg,ファーマーズマーケット,situation,共通
C-028,C-028_rooftop_bar.jpg,屋上バー,situation,共通
C-029,C-029_coworking_space.jpg,コワーキングスペース,situation,共通
C-030,C-030_cooking_class.jpg,料理教室,situation,共通
C-031,C-031_language_exchange.jpg,言語交換,situation,共通
C-032,C-032_job_fair.jpg,就職説明会,situation,共通
C-033,C-033_concert_hall.jpg,コンサートホール,situation,共通
C-034,C-034_art_gallery.jpg,アートギャラリー,situation,共通
C-035,C-035_listening_skill.jpg,リスニング,skill,共通
C-036,C-036_vocabulary_skill.jpg,語彙力,skill,共通
C-037,C-037_grammar_skill.jpg,文法,skill,共通
C-038,C-038_pronunciation_skill.jpg,発音,skill,共通
C-039,C-039_reading_speed.jpg,速読,skill,共通
C-040,C-040_writing_skill.jpg,ライティング,skill,共通
C-041,C-041_speaking_skill.jpg,スピーキング,skill,共通
C-042,C-042_dictation_skill.jpg,ディクテーション,skill,共通
C-043,C-043_shadowing_skill.jpg,シャドーイング,skill,共通
C-044,C-044_idioms_skill.jpg,イディオム,skill,共通
C-045,C-045_phrasal_verbs.jpg,句動詞,skill,共通
C-046,C-046_collocations.jpg,コロケーション,skill,共通
C-047,C-047_small_talk.jpg,スモールトーク,skill,共通
C-048,C-048_presentation_skill.jpg,プレゼン,skill,共通
C-049,C-049_debate_skill.jpg,ディベート,skill,共通
C-050,C-050_note_taking.jpg,ノートテイキング,skill,共通
C-051,C-051_summarizing.jpg,要約,skill,共通
C-052,C-052_intonation.jpg,イントネーション,skill,共通
C-053,C-053_stress_patterns.jpg,強勢パターン,skill,共通
C-054,C-054_linking_sounds.jpg,リンキングサウンド,skill,共通
C-055,C-055_fluency.jpg,流暢さ,skill,共通
C-056,C-056_comprehension.jpg,読解力,skill,共通
C-057,C-057_inference_skill.jpg,推論,skill,共通
C-058,C-058_skimming.jpg,スキミング,skill,共通
C-059,C-059_critical_thinking.jpg,批判的思考,skill,共通
C-060,C-060_word_formation.jpg,語形成,skill,共通
C-061,C-061_sentence_structure.jpg,文章構造,skill,共通
C-062,C-062_paraphrasing.jpg,言い換え,skill,共通
C-063,C-063_rhythm_skill.jpg,リズム,skill,共通
C-064,C-064_scanning_skill.jpg,スキャニング,skill,共通
C-065,C-065_public_speaking.jpg,パブリックスピーキング,skill,共通
C-066,C-066_writing_email.jpg,メール作成,skill,共通
C-067,C-067_pausing_rhythm.jpg,間と流れ,skill,共通
C-068,C-068_london.jpg,ロンドン,city,共通
C-069,C-069_new_york.jpg,ニューヨーク,city,共通
C-070,C-070_sydney.jpg,シドニー,city,共通
C-071,C-071_paris.jpg,パリ,city,共通
C-072,C-072_vancouver.jpg,バンクーバー,city,共通
C-073,C-073_melbourne.jpg,メルボルン,city,共通
C-074,C-074_dublin.jpg,ダブリン,city,共通
C-075,C-075_singapore.jpg,シンガポール,city,共通
C-076,C-076_toronto.jpg,トロント,city,共通
C-077,C-077_san_francisco.jpg,サンフランシスコ,city,共通
C-078,C-078_edinburgh.jpg,エディンバラ,city,共通
C-079,C-079_auckland.jpg,オークランド,city,共通
C-080,C-080_cape_town.jpg,ケープタウン,city,共通
C-081,C-081_boston.jpg,ボストン,city,共通
C-082,C-082_hawaii.jpg,ハワイ,city,共通
C-083,C-083_hong_kong.jpg,香港,city,共通
C-084,C-084_seattle.jpg,シアトル,city,共通
C-085,C-085_portland.jpg,ポートランド,city,共通
C-086,C-086_austin.jpg,オースティン,city,共通
C-087,C-087_nashville.jpg,ナッシュビル,city,共通
C-088,C-088_chicago.jpg,シカゴ,city,共通
C-089,C-089_miami.jpg,マイアミ,city,共通
C-090,C-090_los_angeles.jpg,ロサンゼルス,city,共通
C-091,C-091_washington_dc.jpg,ワシントンDC,city,共通
C-092,C-092_denver.jpg,デンバー,city,共通
C-093,C-093_barcelona.jpg,バルセロナ,city,共通
C-094,C-094_amsterdam.jpg,アムステルダム,city,共通
C-095,C-095_berlin.jpg,ベルリン,city,共通
C-096,C-096_stockholm.jpg,ストックホルム,city,共通
C-097,C-097_copenhagen.jpg,コペンハーゲン,city,共通
C-098,C-098_prague.jpg,プラハ,city,共通
C-099,C-099_lisbon.jpg,リスボン,city,共通
C-100,C-100_vienna.jpg,ウィーン,city,共通
I-001,I-001_business_meeting.jpg,ビジネス会議,situation,中級
I-002,I-002_job_interview.jpg,就職面接,situation,中級
I-003,I-003_travel_planning.jpg,旅行計画,situation,中級
I-004,I-004_apartment_hunting.jpg,部屋探し,situation,中級
I-005,I-005_medical_consultation.jpg,医療相談,situation,中級
I-006,I-006_insurance.jpg,保険の話,situation,中級
I-007,I-007_networking.jpg,ネットワーキング,situation,中級
I-008,I-008_team_discussion.jpg,チームディスカッション,situation,中級
I-009,I-009_client_presentation.jpg,クライアントへのプレゼン,situation,中級
I-010,I-010_conference_call.jpg,電話会議,situation,中級
I-011,I-011_email_negotiation.jpg,メールで交渉,situation,中級
I-012,I-012_video_meeting.jpg,ビデオ会議,situation,中級
I-013,I-013_remote_work.jpg,リモートワーク,situation,中級
I-014,I-014_salary_discussion.jpg,給与の交渉,situation,中級
I-015,I-015_project_deadline.jpg,締切プレッシャー,situation,中級
I-016,I-016_complaint_handling.jpg,クレーム対応,situation,中級
I-017,I-017_brainstorming.jpg,ブレインストーミング,situation,中級
I-018,I-018_report_writing.jpg,レポート作成,skill,中級
I-019,I-019_feedback_giving.jpg,フィードバック,skill,中級
I-020,I-020_conflict_resolution.jpg,対立解消,skill,中級
I-021,I-021_business_email.jpg,ビジネスメール,skill,中級
I-022,I-022_negotiation.jpg,交渉,skill,中級
I-023,I-023_brainstorm_skill.jpg,アイデア発想,skill,中級
I-024,I-024_decision_making.jpg,意思決定,skill,中級
I-025,I-025_problem_solving.jpg,問題解決,skill,中級
I-026,I-026_mentoring.jpg,メンタリング,skill,中級
I-027,I-027_cultural_awareness.jpg,異文化理解,skill,中級
I-028,I-028_cross_cultural.jpg,異文化コミュニケーション,skill,中級
I-029,I-029_active_listening.jpg,傾聴,skill,中級
I-030,I-030_paraphrase_advance.jpg,上級言い換え,skill,中級
I-031,I-031_hedging_language.jpg,曖昧表現,skill,中級
I-032,I-032_turn_taking.jpg,発言順序,skill,中級
I-033,I-033_register.jpg,言語レジスター,skill,中級
I-034,I-034_discourse_markers.jpg,談話標識,skill,中級
I-035,I-035_chicago_culture.jpg,シカゴの文化,city,中級
I-036,I-036_montreal.jpg,モントリオール,city,中級
I-037,I-037_edinburgh_festival.jpg,エディンバラ祭,city,中級
I-038,I-038_new_york_brooklyn.jpg,ブルックリン,city,中級
I-039,I-039_san_fran_mission.jpg,ミッション地区,city,中級
I-040,I-040_sydney_bondi.jpg,ボンダイビーチ,city,中級
I-041,I-041_london_east.jpg,イーストロンドン,city,中級
I-042,I-042_berlin_tech.jpg,ベルリンのテック,city,中級
I-043,I-043_toronto_multicultural.jpg,トロントの多様性,city,中級
I-044,I-044_singapore_food.jpg,シンガポールのホーカー,city,中級
I-045,I-045_melbourne_coffee.jpg,メルボルンのカフェ文化,city,中級
I-046,I-046_wellington.jpg,ウェリントン,city,中級
I-047,I-047_glasgow.jpg,グラスゴー,city,中級
I-048,I-048_johannesburg.jpg,ヨハネスブルグ,city,中級
I-049,I-049_mumbai.jpg,ムンバイ,city,中級
I-050,I-050_dubai.jpg,ドバイ,city,中級
